step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
1,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
2,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
3,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
4,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
5,1.5695833333333333,0.0,1.5695833333333333,1.1171875,1024,143
6,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
7,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
8,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
9,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
10,1.455,0.0,1.455,1.03125,1024,132
11,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
12,4.184166666666667,0.0,4.184166666666667,3.078125,1024,394
13,4.205,0.0,4.205,3.09375,1024,396
14,4.444583333333333,0.0,4.444583333333333,3.2734375,1024,419
15,4.36125,0.0,4.36125,3.2109375,1024,411
16,4.2675,0.0,4.2675,3.140625,1024,402
17,4.309166666666667,0.0,4.309166666666667,3.171875,1024,406
18,4.04875,0.0,4.04875,2.9765625,1024,381
19,4.04875,0.0,4.04875,2.9765625,1024,381
20,4.3925,0.0,4.3925,3.234375,1024,414
21,4.215416666666667,0.0,4.215416666666667,3.1015625,1024,397
22,4.277916666666667,0.0,4.277916666666667,3.1484375,1024,403
23,4.371666666666667,0.0,4.371666666666667,3.21875,1024,412
24,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
25,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
26,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
27,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
28,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
29,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
30,1.455,0.0,1.455,1.03125,1024,132
31,1.48625,0.0,1.48625,1.0546875,1024,135
32,1.48625,0.0,1.48625,1.0546875,1024,135
33,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
34,1.61125,0.0,1.61125,1.1484375,1024,147
35,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
36,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
37,4.371666666666667,0.0,4.371666666666667,3.21875,1024,412
38,3.86125,0.0,3.86125,2.8359375,1024,363
39,4.569583333333333,0.0,4.569583333333333,3.3671875,1024,431
40,4.163333333333333,0.0,4.163333333333333,3.0625,1024,392
41,4.42375,0.0,4.42375,3.2578125,1024,417
42,4.434166666666667,0.0,4.434166666666667,3.265625,1024,418
43,4.163333333333333,0.0,4.163333333333333,3.0625,1024,392
44,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
45,4.3925,0.0,4.3925,3.234375,1024,414
46,4.04875,0.0,4.04875,2.9765625,1024,381
47,4.0175,0.0,4.0175,2.953125,1024,378
48,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
49,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
50,1.5904166666666668,0.0,1.5904166666666668,1.1328125,1024,145
51,1.48625,0.0,1.48625,1.0546875,1024,135
52,1.48625,0.0,1.48625,1.0546875,1024,135
53,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
54,1.6008333333333333,0.0,1.6008333333333333,1.140625,1024,146
55,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
56,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
57,1.54875,0.0,1.54875,1.1015625,1024,141
58,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
59,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
60,4.42375,0.0,4.42375,3.2578125,1024,417
61,4.257083333333333,0.0,4.257083333333333,3.1328125,1024,401
62,3.8508333333333336,0.0,3.8508333333333336,2.828125,1024,362
63,4.246666666666667,0.0,4.246666666666667,3.125,1024,400
64,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
65,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
66,4.61125,0.0,4.61125,3.3984375,1024,435
67,4.340416666666667,0.0,4.340416666666667,3.1953125,1024,409
68,4.246666666666667,0.0,4.246666666666667,3.125,1024,400
69,4.309166666666667,0.0,4.309166666666667,3.171875,1024,406
70,4.33,0.0,4.33,3.1875,1024,408
71,4.184166666666667,0.0,4.184166666666667,3.078125,1024,394
72,1.5175,0.0,1.5175,1.078125,1024,138
73,1.48625,0.0,1.48625,1.0546875,1024,135
74,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
75,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
76,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
77,1.48625,0.0,1.48625,1.0546875,1024,135
78,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
79,1.5904166666666668,0.0,1.5904166666666668,1.1328125,1024,145
80,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
81,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
82,1.455,0.0,1.455,1.03125,1024,132
83,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
84,4.152916666666667,0.0,4.152916666666667,3.0546875,1024,391
85,4.205,0.0,4.205,3.09375,1024,396
86,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
87,4.340416666666667,0.0,4.340416666666667,3.1953125,1024,409
88,4.319583333333333,0.0,4.319583333333333,3.1796875,1024,407
89,4.0175,0.0,4.0175,2.953125,1024,378
90,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
91,4.371666666666667,0.0,4.371666666666667,3.21875,1024,412
92,4.42375,0.0,4.42375,3.2578125,1024,417
93,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
94,4.246666666666667,0.0,4.246666666666667,3.125,1024,400
95,4.29875,0.0,4.29875,3.1640625,1024,405
96,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
97,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
98,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
99,1.54875,0.0,1.54875,1.1015625,1024,141
100,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
101,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
102,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
103,1.5175,0.0,1.5175,1.078125,1024,138
104,1.5904166666666668,0.0,1.5904166666666668,1.1328125,1024,145
105,1.5591666666666668,0.0,1.5591666666666668,1.109375,1024,142
106,1.58,0.0,1.58,1.125,1024,144
107,1.61125,0.0,1.61125,1.1484375,1024,147
108,4.29875,0.0,4.29875,3.1640625,1024,405
109,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
110,4.538333333333333,0.0,4.538333333333333,3.34375,1024,428
111,4.163333333333333,0.0,4.163333333333333,3.0625,1024,392
112,4.205,0.0,4.205,3.09375,1024,396
113,4.0175,0.0,4.0175,2.953125,1024,378
114,4.350833333333333,0.0,4.350833333333333,3.203125,1024,410
115,4.309166666666667,0.0,4.309166666666667,3.171875,1024,406
116,4.350833333333333,0.0,4.350833333333333,3.203125,1024,410
117,4.225833333333333,0.0,4.225833333333333,3.109375,1024,398
118,4.350833333333333,0.0,4.350833333333333,3.203125,1024,410
119,4.309166666666667,0.0,4.309166666666667,3.171875,1024,406
