step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
1,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
2,1.5175,0.0,1.5175,1.078125,1024,138
3,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
4,1.54875,0.0,1.54875,1.1015625,1024,141
5,1.5175,0.0,1.5175,1.078125,1024,138
6,1.54875,0.0,1.54875,1.1015625,1024,141
7,1.58,0.0,1.58,1.125,1024,144
8,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
9,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
10,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
11,1.6008333333333333,0.0,1.6008333333333333,1.140625,1024,146
12,4.184166666666667,0.0,4.184166666666667,3.078125,1024,394
13,4.205,0.0,4.205,3.09375,1024,396
14,4.17375,0.0,4.17375,3.0703125,1024,393
15,4.340416666666667,0.0,4.340416666666667,3.1953125,1024,409
16,4.402916666666667,0.0,4.402916666666667,3.2421875,1024,415
17,4.382083333333333,0.0,4.382083333333333,3.2265625,1024,413
18,4.705,0.0,4.705,3.46875,1024,444
19,4.340416666666667,0.0,4.340416666666667,3.1953125,1024,409
20,4.33,0.0,4.33,3.1875,1024,408
21,4.507083333333333,0.0,4.507083333333333,3.3203125,1024,425
22,4.257083333333333,0.0,4.257083333333333,3.1328125,1024,401
23,4.152916666666667,0.0,4.152916666666667,3.0546875,1024,391
24,1.54875,0.0,1.54875,1.1015625,1024,141
25,1.54875,0.0,1.54875,1.1015625,1024,141
26,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
27,1.5591666666666668,0.0,1.5591666666666668,1.109375,1024,142
28,1.48625,0.0,1.48625,1.0546875,1024,135
29,1.5175,0.0,1.5175,1.078125,1024,138
30,1.48625,0.0,1.48625,1.0546875,1024,135
31,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
32,1.54875,0.0,1.54875,1.1015625,1024,141
33,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
34,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
35,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
36,4.455,0.0,4.455,3.28125,1024,420
37,4.3925,0.0,4.3925,3.234375,1024,414
38,4.600833333333333,0.0,4.600833333333333,3.390625,1024,434
39,4.350833333333333,0.0,4.350833333333333,3.203125,1024,410
40,4.29875,0.0,4.29875,3.1640625,1024,405
41,4.382083333333333,0.0,4.382083333333333,3.2265625,1024,413
42,4.757083333333333,0.0,4.757083333333333,3.5078125,1024,449
43,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
44,4.163333333333333,0.0,4.163333333333333,3.0625,1024,392
45,4.215416666666667,0.0,4.215416666666667,3.1015625,1024,397
46,4.455,0.0,4.455,3.28125,1024,420
47,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
48,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
49,1.5695833333333333,0.0,1.5695833333333333,1.1171875,1024,143
50,1.6216666666666668,0.0,1.6216666666666668,1.15625,1024,148
51,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
52,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
53,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
54,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
55,1.54875,0.0,1.54875,1.1015625,1024,141
56,1.54875,0.0,1.54875,1.1015625,1024,141
57,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
58,1.5175,0.0,1.5175,1.078125,1024,138
59,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
60,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
61,4.496666666666667,0.0,4.496666666666667,3.3125,1024,424
62,4.350833333333333,0.0,4.350833333333333,3.203125,1024,410
63,4.36125,0.0,4.36125,3.2109375,1024,411
64,4.309166666666667,0.0,4.309166666666667,3.171875,1024,406
65,4.319583333333333,0.0,4.319583333333333,3.1796875,1024,407
66,4.5175,0.0,4.5175,3.328125,1024,426
67,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
68,4.507083333333333,0.0,4.507083333333333,3.3203125,1024,425
69,4.402916666666667,0.0,4.402916666666667,3.2421875,1024,415
70,4.54875,0.0,4.54875,3.3515625,1024,429
71,4.350833333333333,0.0,4.350833333333333,3.203125,1024,410
72,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
73,1.5904166666666668,0.0,1.5904166666666668,1.1328125,1024,145
74,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
75,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
76,1.5904166666666668,0.0,1.5904166666666668,1.1328125,1024,145
77,1.4445833333333333,0.0,1.4445833333333333,1.0234375,1024,131
78,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
79,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
80,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
81,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
82,1.5591666666666668,0.0,1.5591666666666668,1.109375,1024,142
