case,policy,seeds,ttft_mean_s,ttft_p95_s,e2e_mean_s,token_hit_ratio,switch_ratio
steady_4,round_robin,3,0.4041715831270913,1.2822200593571889,3.2976110289031517,0.6904784058740329,0.6516203703703703
steady_4,least_wait,3,0.3055589881577666,1.2237856402030236,3.1989980964423497,0.6931205304159351,0.6407407407407407
steady_4,algorithm_one,3,0.27455862755452737,1.2143243586783612,3.1679806220860307,0.8336104661607716,0.0
steady_4,algorithm_two,3,0.26803641810968054,1.2162908890951674,3.1614997540238803,0.8013148309933354,0.059953703703703703
steady_8,round_robin,3,0.4901820766574332,1.4106760089882424,3.383686836861625,0.6121641310300543,0.7622685185185185
steady_8,least_wait,3,0.3608200889807992,1.2407033047146108,3.2543648595006704,0.6111356862263536,0.7606481481481482
steady_8,algorithm_one,3,0.2808115010787283,1.2118737593637239,3.1742426231728325,0.8337785979761149,0.0
steady_8,algorithm_two,3,0.28369318044965264,1.221463586232782,3.1771940390709825,0.7732279723797408,0.09814814814814815
steady_16,round_robin,3,0.686086409705191,1.8943992794966082,3.5797993639598755,0.5049760750122597,0.8122685185185186
steady_16,least_wait,3,0.43242621769709144,1.3155330175702353,3.3262405602134395,0.5083860969108083,0.8039351851851853
steady_16,algorithm_one,3,0.2806715509477105,1.218872286230179,3.174161611861972,0.8337785979761149,0.0
steady_16,algorithm_two,3,0.33276236835388406,1.2573064440738477,3.2264356849965186,0.7160279123207455,0.17939814814814814
light_8,round_robin,3,0.33748555020567567,1.2283638175846079,3.23092681821293,0.6121641310300543,0.7622685185185185
light_8,least_wait,3,0.3355863081755269,1.2290857828822368,3.2290149957588734,0.6106398198949338,0.7541666666666667
light_8,algorithm_one,3,0.1980502502004926,0.6934629171270927,3.0914901433406627,0.8337785979761149,0.0
light_8,algorithm_two,3,0.19787775192388177,0.6425424752231473,3.0913183957652577,0.8236830056852378,0.013657407407407408
hot_shift_8,round_robin,3,0.5776995640105604,1.6358156651646922,3.4676407220783054,0.5514875351440457,0.7604166666666666
hot_shift_8,least_wait,3,0.40414661462037516,1.2726746130796325,3.2941273546097225,0.5448635319918672,0.7541666666666667
hot_shift_8,algorithm_one,3,0.3217138268207169,1.3270532722949515,3.211595099756521,0.8255619561495935,0.0
hot_shift_8,algorithm_two,3,0.2982954569496325,1.2329620018767617,3.1882344560594236,0.7519618364808376,0.10810185185185185
burst_8,round_robin,3,3.969517842189441,11.556974603920617,6.85946925491442,0.5514875351440457,0.7604166666666666
burst_8,least_wait,3,3.354246586256347,10.243307525323736,6.244235925072611,0.5587390549033984,0.7479166666666667
burst_8,algorithm_one,3,2.4300482619528485,10.610616687294426,5.319931162800444,0.8255619561495935,0.0
burst_8,algorithm_two,3,1.9850302455661228,6.988661515713872,4.874967220728358,0.6913121525578247,0.22569444444444445
decode_heavy_8,round_robin,3,0.3519176591134501,1.2350437211051475,12.045055263236907,0.6121641310300543,0.7622685185185185
decode_heavy_8,least_wait,3,0.3364407798073479,1.2319101733096431,12.029482175580853,0.6144360557391253,0.7530092592592592
decode_heavy_8,algorithm_one,3,0.23886336080171586,1.171505048428448,11.931697455246624,0.8337785979761149,0.0
decode_heavy_8,algorithm_two,3,0.23757543146676155,1.2046153753278688,11.930459064951972,0.802968024373882,0.049305555555555554
small_cache_8,round_robin,3,1.3197714470194462,3.4043883071221708,4.2132654278424235,0.3213778185242517,0.7622685185185185
small_cache_8,least_wait,3,0.8059914278483419,1.9721832673219357,3.699508264805911,0.31906504035031313,0.7548611111111111
small_cache_8,algorithm_one,3,0.48314984454764004,1.711208041877505,3.376593052652804,0.7104685674619787,0.0
small_cache_8,algorithm_two,3,0.5708053357300407,1.5848501807998734,3.4642652759209267,0.5059916955574743,0.32569444444444445
stale_8,round_robin,3,0.4901820766574332,1.4106760089882424,3.383686836861625,0.6121641310300543,0.7622685185185185
stale_8,least_wait,3,0.7845315427755243,2.4545123080111844,3.677998504712907,0.6114625719565563,0.7460648148148148
stale_8,algorithm_one,3,0.3657112694810843,1.670000744198224,3.2591756290198073,0.8337785979761149,0.0
stale_8,algorithm_two,3,0.4613519287498646,1.846609165262765,3.3548555926272576,0.7511269929022016,0.16180555555555556
no_apc_8,round_robin,3,13.863912847328173,27.04934383835553,16.757374659228862,0.0,0.7622685185185185
no_apc_8,least_wait,3,12.848543245196955,22.45466990281008,15.74202209513561,0.0,0.7550925925925925
no_apc_8,algorithm_one,3,13.965761051544717,37.10618012246403,16.859220250183395,0.0,0.0
no_apc_8,algorithm_two,3,13.06296879491021,22.909064186982757,15.956476526656724,0.0,0.7564814814814814
