policy,scenario,seed,clusters,requests,measured,trace_sha256,ttft_mean_s,ttft_p95_s,e2e_mean_s,e2e_p95_s,p_wait_mean_s,prefill_mean_s,d_wait_mean_s,token_hit_ratio,switch_ratio,completed_rps,drain_seconds,max_decode_batch,observation_samples,case
algorithm_two,burst,31,8,1800,1440,d272bab780a5fa3f61f023972c439b32cb94a009a30906f9d9c10685c5f769ef,2.061750309381117,6.741865267467276,4.949762006698735,9.769195072825987,1.5630176075203583,0.2229435950617284,0.23321050724208803,0.6890638282145101,0.2111111111111111,16.63773645180164,4.203222883928603,16,433,burst_8
round_robin,burst,47,8,1800,1440,4a760d3b7d02d72e73505107aa9a8d6037a027f1b9172d49911b3ee1833d2907,4.77163529065696,13.39793699488063,7.647555589255544,16.285352880531377,4.383820096536428,0.318700024691358,0.02625994334137821,0.5537637337691819,0.7590277777777777,16.4240593347024,5.368151922478276,16,439,burst_8
least_wait,burst,47,8,1800,1440,4a760d3b7d02d72e73505107aa9a8d6037a027f1b9172d49911b3ee1833d2907,3.833371470481897,10.650159924984365,6.709296557126561,13.807310589630518,3.4593134679875264,0.3073173086419753,0.023897031431423767,0.5705075819486062,0.7618055555555555,16.54026847326154,4.598153692062937,16,436,burst_8
algorithm_one,burst,47,8,1800,1440,4a760d3b7d02d72e73505107aa9a8d6037a027f1b9172d49911b3ee1833d2907,1.0042619302117821,3.9241790263088276,3.880088015540641,7.251343306850224,0.3057615957190003,0.1296136049382716,0.5260594386627102,0.8319077453918097,0.0,16.597287134025034,4.224292956826972,16,434,burst_8
algorithm_two,burst,47,8,1800,1440,4a760d3b7d02d72e73505107aa9a8d6037a027f1b9172d49911b3ee1833d2907,2.323289996845567,8.676729034262756,5.199213778275732,11.65508229119203,1.9040075187757939,0.22176175308641974,0.15467449508531267,0.6963588486334332,0.2326388888888889,16.589935845023536,4.2723496836835295,16,435,burst_8
round_robin,burst,89,8,1800,1440,825231afabf038e104f1a85885ab796a24f0d9eb5b7f6cd75775393b4cb80530,3.331129316967711,10.389934155102083,6.236882676659548,13.350183674432245,2.955818364003206,0.31500339259259263,0.0179861987014842,0.542322111489987,0.7506944444444444,15.846361876026801,4.222419488063238,16,455,burst_8
least_wait,burst,89,8,1800,1440,825231afabf038e104f1a85885ab796a24f0d9eb5b7f6cd75775393b4cb80530,2.854858382233431,9.814145030145916,5.760698547476879,12.875210523502346,2.4582423553856563,0.3111021580246914,0.04319878499101978,0.5482752774062282,0.75,15.846469039236602,4.221651320185416,16,455,burst_8
algorithm_one,burst,89,8,1800,1440,825231afabf038e104f1a85885ab796a24f0d9eb5b7f6cd75775393b4cb80530,1.1859864366114627,6.521669015727852,4.091769990848137,9.468559083459276,0.2150210464826512,0.13147252839506174,0.797199650299106,0.8223846574103728,0.0,15.862180692409813,4.109139282657708,16,454,burst_8
algorithm_two,burst,89,8,1800,1440,825231afabf038e104f1a85885ab796a24f0d9eb5b7f6cd75775393b4cb80530,1.5700504304716845,5.547390245411584,4.475925877210608,8.69709190095741,1.2114883683860194,0.21920092345679013,0.09705879732222754,0.6885137808255308,0.23333333333333334,15.855902338460451,4.154072182333024,16,455,burst_8
round_robin,steady,31,8,1800,1440,ba0ae6339352dd487defb6fa53d4c288bc9689a0f0c50a87c5377331ad661f63,0.3471845922179119,1.2351836136465408,12.032773586616742,17.299312984259018,0.012902792677344522,0.27782135308641975,0.013427596811800472,0.6170917999711774,0.7722222222222223,5.617531069980052,16.860225341682224,14,1282,decode_heavy_8
least_wait,steady,31,8,1800,1440,ba0ae6339352dd487defb6fa53d4c288bc9689a0f0c50a87c5377331ad661f63,0.33534134946111865,1.2334790737649826,12.020794109336427,17.374009317700143,8.180678846661453e-05,0.2790312296296297,0.013197790115960133,0.6153264159100735,0.7541666666666667,5.617078950940078,16.886016407547913,16,1282,decode_heavy_8
algorithm_one,steady,31,8,1800,1440,ba0ae6339352dd487defb6fa53d4c288bc9689a0f0c50a87c5377331ad661f63,0.2448717750931606,1.2108500963476558,11.929857145966269,17.193006890006473,0.04350153358749827,0.1320559209876543,0.026298446708372742,0.829784551088053,0.0,5.610508801393413,17.261278748836048,16,1284,decode_heavy_8
algorithm_two,steady,31,8,1800,1440,ba0ae6339352dd487defb6fa53d4c288bc9689a0f0c50a87c5377331ad661f63,0.23527110878053165,1.2069819156173764,11.92034635356625,17.15744200173279,0.02418300636887494,0.14706826666666667,0.02100011859936968,0.8078793774319066,0.04861111111111111,5.619166192120295,16.766984680581004,16,1282,decode_heavy_8
round_robin,steady,47,8,1800,1440,a86c5ad398ad47448d7ff53746bb4af1b4a3c183f90d3309bf5af157b5867bff,0.3576697735461668,1.2366298560056066,11.995210166695006,17.365670219532944,0.014655857319817969,0.286535175308642,0.0131297519990271,0.6128855888110901,0.7618055555555555,5.70641000475638,17.592258622135546,16,1263,decode_heavy_8
least_wait,steady,47,8,1800,1440,a86c5ad398ad47448d7ff53746bb4af1b4a3c183f90d3309bf5af157b5867bff,0.3371389285241866,1.2323362951002252,11.974431675379714,17.327646086836353,0.00014026669744642776,0.2800536938271605,0.013608031628038687,0.622145011375862,0.7590277777777777,5.714666706313869,17.136510158351086,16,1261,decode_heavy_8
algorithm_one,steady,47,8,1800,1440,a86c5ad398ad47448d7ff53746bb4af1b4a3c183f90d3309bf5af157b5867bff,0.24909021672661968,1.2082775923307452,11.886418457029363,17.36798052962041,0.03380472911928449,0.12694258271604938,0.04500451155904397,0.8408790278488156,0.0,5.72028638043951,16.827071222206314,16,1259,decode_heavy_8
algorithm_two,steady,47,8,1800,1440,a86c5ad398ad47448d7ff53746bb4af1b4a3c183f90d3309bf5af157b5867bff,0.2305763069748426,1.1942742763435277,11.86807079215487,17.23116153951733,0.0212247593545294,0.1480290024691358,0.017987927941114156,0.8107550397714245,0.03888888888888889,5.715818970996846,17.073012840028696,16,1260,decode_heavy_8
