scenario,seed,mode,experts,ranks,capacity,steps,mean_layer_ms,p95_layer_ms,mean_imbalance,layout_switches,weight_copies,flow_fallbacks,migration_total_ms,activation_total,case
shift,31,static,64,16,6,360,2.389375,4.1425,3.4640625,0,0,0,0.0,368640,scale_16
shift,31,dynamic,64,16,6,360,1.0653703703703703,1.6216666666666668,1.3774305555555555,2,161,0,24.15,368640,scale_16
shift,47,uniform,64,16,6,360,5.168310185185185,6.788333333333333,7.6324652777777775,0,0,0,0.0,368640,scale_16
shift,47,static,64,16,6,360,2.326209490740741,3.9966666666666666,3.3693142361111112,0,0,0,0.0,368640,scale_16
shift,47,dynamic,64,16,6,360,1.0503819444444442,1.54875,1.3611979166666666,2,151,0,22.65,368640,scale_16
shift,89,uniform,64,16,6,360,5.159513888888889,6.819583333333333,7.619270833333333,0,0,0,0.0,368640,scale_16
shift,89,static,64,16,6,360,2.2989525462962965,3.955,3.3284288194444445,0,0,0,0.0,368640,scale_16
shift,89,dynamic,64,16,6,360,1.035324074074074,1.2675,1.3329861111111112,2,160,0,24.0,368640,scale_16
shift,31,uniform,32,8,6,360,4.816313657407408,5.83,3.5522352430555557,0,0,0,0.0,368640,costly_shift
shift,31,static,32,8,6,360,2.9471006944444444,4.600833333333333,2.1503255208333334,0,0,0,0.0,368640,costly_shift
shift,31,dynamic,32,8,6,360,1.9377546296296297,4.319583333333333,1.2745659722222222,1,38,0,57.0,368640,costly_shift
shift,47,uniform,32,8,6,360,4.8185416666666665,5.83,3.55390625,0,0,0,0.0,368640,costly_shift
shift,47,static,32,8,6,360,2.9187152777777783,4.527916666666667,2.129036458333333,0,0,0,0.0,368640,costly_shift
shift,47,dynamic,32,8,6,360,1.9383912037037037,4.319583333333333,1.2719184027777777,1,39,0,58.5,368640,costly_shift
shift,89,uniform,32,8,6,360,4.818715277777779,5.83,3.5540364583333335,0,0,0,0.0,368640,costly_shift
shift,89,static,32,8,6,360,2.8892013888888894,4.455,2.1069010416666667,0,0,0,0.0,368640,costly_shift
shift,89,dynamic,32,8,6,360,1.9370601851851852,4.194583333333333,1.274045138888889,1,38,0,57.0,368640,costly_shift
